iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0917404233726,0.0917343779425,0.0917064732036,1.0,1.0,1.0,12.329964269
100,0.0913110012911,0.0913245136775,0.0912868748879,1.0,1.0,1.0,1310.71691139
200,0.0913457517344,0.0913532510097,0.0913231377114,1.0,1.0,1.0,2815.20097519
300,0.0917155937097,0.0917193672946,0.0916932599742,1.0,1.0,1.0,4322.50002712
400,0.0916277384239,0.0916320913599,0.0916076896996,1.0,1.0,1.0,5523.00188631
500,0.0917818861862,0.0917868260056,0.0917607712517,1.0,1.0,1.0,6696.43866279
600,0.0916665934959,0.0916696533823,0.091646250523,1.0,1.0,1.0,7881.9502573
700,0.0914453132287,0.0914488256341,0.0914196998282,1.0,1.0,1.0,9052.72581901
800,0.091455028292,0.0914589980051,0.0914356383183,1.0,1.0,1.0,10220.4594516
900,0.0914530320762,0.0914567995538,0.0914352278295,1.0,1.0,1.0,11407.2579997
1000,0.0915178157531,0.0915195530481,0.0915031214943,1.0,1.0,1.0,12591.4471175
1100,0.091501660908,0.0915023946218,0.0914861935246,1.0,1.0,1.0,13781.2588722
1200,0.0914501985394,0.0914504216085,0.0914337167283,1.0,1.0,1.0,14962.2853142
1300,0.091516852663,0.0915179275262,0.0914988389062,1.0,1.0,1.0,16137.3502721
1400,0.0914311444096,0.0914339929384,0.0914114624456,1.0,1.0,1.0,17319.0001327
1500,0.0917143718699,0.0917175440484,0.0916956612941,1.0,1.0,1.0,18515.6891655
1600,0.0917948398793,0.0917982217948,0.0917760894014,1.0,1.0,1.0,19711.1546979
1700,0.0913344754434,0.0913402242088,0.0913147481302,1.0,1.0,1.0,20898.4991823
1800,0.0913236330475,0.0913294374209,0.0913080577911,1.0,1.0,1.0,22104.8521373
1900,0.0912477134274,0.0912535767451,0.0912283183557,1.0,1.0,1.0,23301.4989022
2000,0.0912610124565,0.0912657557526,0.0912459948603,1.0,1.0,1.0,24503.7449375
2100,0.0912808352045,0.0912861557378,0.0912658721121,1.0,1.0,1.0,25728.3436189
2200,0.0913468436719,0.0913526300937,0.0913318703825,1.0,1.0,1.0,27226.421617
2300,0.0912530997697,0.0912601263915,0.0912378085118,1.0,1.0,1.0,28745.2443072
2400,0.091194060042,0.0912008631732,0.0911830173314,1.0,1.0,1.0,30025.2087777
2500,0.091185377807,0.0911918583525,0.0911705700343,1.0,1.0,1.0,31203.3969194
2600,0.0912371752001,0.0912436995245,0.0912248783892,1.0,1.0,1.0,32388.3190273
2700,0.091114065277,0.0911218737103,0.0911007304507,1.0,1.0,1.0,33589.7570486
2800,0.0911856259645,0.0911912544717,0.0911753730941,1.0,1.0,1.0,34792.8670392
2900,0.091184028369,0.0911884188363,0.0911780746297,1.0,1.0,1.0,36179.8038182
3000,0.0911752153025,0.0911803687484,0.0911700350892,1.0,1.0,1.0,37673.6874337
3100,0.0911763363013,0.0911818066911,0.0911691264668,1.0,1.0,1.0,39070.9666639
3200,0.0911163022414,0.0911235302687,0.091111554928,1.0,1.0,1.0,40246.9456898
3300,0.0911253096544,0.0911305003615,0.0911179214542,1.0,1.0,1.0,41422.6305321
3400,0.0911004858521,0.0911066904759,0.0910896314895,1.0,1.0,1.0,42608.5945667
3500,0.0911223514242,0.0911287276868,0.0911125223181,1.0,1.0,1.0,43800.4424847
3600,0.0910974065896,0.091103421877,0.0910873247813,1.0,1.0,1.0,45006.2517064
3700,0.0912092867532,0.0912147547692,0.0912023824233,1.0,1.0,1.0,46207.0516258
3800,0.0912731800583,0.0912775408903,0.0912633463831,1.0,1.0,1.0,47664.5341098
3900,0.0911739359228,0.0911795874538,0.0911634720066,1.0,1.0,1.0,49162.7532577
4000,0.0911824664781,0.0911880062138,0.0911770570552,1.0,1.0,1.0,50495.1937768
4100,0.0912316283973,0.0912373962983,0.0912237902643,1.0,1.0,1.0,51705.0254812
