iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.131655548259,0.131654520685,0.131673238989,1.0,1.0,1.0,0.455512136003
100,0.118428135557,0.118425547981,0.118440243762,1.0,1.0,1.0,45.947545559
200,0.104261538192,0.10425876526,0.104268169529,1.0,1.0,1.0,91.4895150259
300,0.0978160032843,0.0978139001005,0.0978163413352,1.0,1.0,1.0,136.942075317
400,0.094068293249,0.094067319732,0.0940631282406,1.0,1.0,1.0,183.176791501
500,0.0917784429957,0.0917794676614,0.0917707198191,1.0,1.0,1.0,232.974499322
600,0.091315449989,0.0913170330762,0.091304017901,1.0,1.0,1.0,282.860942946
700,0.0911719154575,0.0911746593154,0.0911606531977,1.0,1.0,1.0,332.768868099
800,0.091087598979,0.0910918314466,0.0910754576643,1.0,1.0,1.0,382.697634475
900,0.0909361657175,0.0909433418936,0.0909213734998,1.0,1.0,1.0,432.570197009
1000,0.0908555197052,0.0908638806598,0.090840955247,1.0,1.0,1.0,482.421162058
1100,0.0907317012554,0.0907420429372,0.0907146092425,1.0,1.0,1.0,532.285701984
1200,0.0906612327825,0.0906716129911,0.0906468515908,1.0,1.0,1.0,581.748338276
1300,0.0905579337133,0.0905697096111,0.0905453057452,1.0,1.0,1.0,631.196205412
1400,0.0904494048474,0.0904628247412,0.0904376810684,1.0,1.0,1.0,680.699524319
1500,0.0903537203785,0.0903680841386,0.0903429289903,1.0,1.0,1.0,730.168714067
1600,0.0902214847152,0.0902362434825,0.0902122691068,1.0,1.0,1.0,779.670266599
1700,0.0901355507777,0.090151865919,0.090126985959,1.0,1.0,1.0,829.199525866
1800,0.0900358653177,0.0900534579809,0.0900263739983,1.0,1.0,1.0,878.799032273
1900,0.089943276152,0.0899612638971,0.0899357181773,1.0,1.0,1.0,928.485118032
2000,0.0898118621792,0.0898316733524,0.0898091694476,1.0,1.0,1.0,977.993941874
2100,0.0896515743558,0.0896744887724,0.0896466200607,1.0,1.0,1.0,1027.49709987
2200,0.0895320223698,0.0895559797117,0.0895276235993,1.0,1.0,1.0,1076.89715146
2300,0.0892970995759,0.0893228726664,0.0892904118363,1.0,1.0,1.0,1126.33784856
2400,0.0891514697788,0.0891789721558,0.0891437713501,1.0,1.0,1.0,1175.79265539
2500,0.0889150319466,0.0889465320332,0.0889084962325,1.0,1.0,1.0,1225.2348592
2600,0.0888138425442,0.088846365898,0.0888088950334,1.0,1.0,1.0,1274.63728947
2700,0.0886268148948,0.0886590762894,0.0886239539923,1.0,1.0,1.0,1324.10146209
2800,0.0884228149166,0.0884580492189,0.0884210759444,1.0,1.0,1.0,1373.62190945
2900,0.0881852440694,0.0882231990057,0.088185891006,1.0,1.0,1.0,1423.11323819
3000,0.0880466607799,0.088086238401,0.0880501389861,1.0,1.0,1.0,1472.55707608
3100,0.0878117254735,0.0878585842039,0.0878196981985,1.0,1.0,1.0,1521.9991507
3200,0.0876739649148,0.0877228725719,0.0876813382764,1.0,1.0,1.0,1571.5491267
3300,0.0874458527683,0.0874982825663,0.0874538374101,1.0,1.0,1.0,1621.1988047
3400,0.0872391026089,0.0872951510754,0.0872511986094,1.0,1.0,1.0,1670.77326281
3500,0.0870736624191,0.0871334593016,0.0870868006624,1.0,1.0,1.0,1720.27226035
3600,0.0868188771154,0.0868810143315,0.0868337739348,1.0,1.0,1.0,1769.71226765
3700,0.0866937756221,0.0867583171342,0.0867156854973,1.0,1.0,1.0,1819.13301932
3800,0.0865170515772,0.0865841141911,0.0865348462235,1.0,1.0,1.0,1868.57642021
3900,0.0863401317621,0.0864117948184,0.0863577592773,1.0,1.0,1.0,1918.07607866
4000,0.0862206538493,0.0862933907483,0.0862404485469,1.0,1.0,1.0,1967.52292663
4100,0.0861509457429,0.086224894183,0.0861731987875,1.0,1.0,1.0,2016.93418371
4200,0.0860704889665,0.0861498422261,0.0860954252771,1.0,1.0,1.0,2066.32779975
4300,0.0857518260943,0.0858351647903,0.0857813419999,1.0,1.0,1.0,2115.91381722
4400,0.0856299711071,0.0857185792892,0.0856649492655,1.0,1.0,1.0,2165.51911374
4500,0.0854729027932,0.0855615591695,0.0855111250166,1.0,1.0,1.0,2215.03760085
4600,0.0853798735301,0.0854721647386,0.0854199319878,1.0,1.0,1.0,2264.44658497
4700,0.0851493842622,0.0852546250112,0.0851753290576,1.0,1.0,1.0,2313.90532291
4800,0.0850164243919,0.0851267855217,0.085052032507,1.0,1.0,1.0,2363.39953401
4900,0.0847918149273,0.084913324194,0.0848382700603,1.0,1.0,1.0,2412.91346423
5000,0.0846245067015,0.0847526036309,0.0846723804239,1.0,1.0,1.0,2462.42978693
5100,0.0844494323541,0.0845853802083,0.0844998017004,1.0,1.0,1.0,2512.07007674
5200,0.0843368105566,0.0844761275399,0.0843889521593,1.0,1.0,1.0,2561.70856591
5300,0.0842203692599,0.0843623791574,0.0842761251401,1.0,1.0,1.0,2611.27209933
5400,0.0839977941734,0.084155345807,0.0840470137472,1.0,1.0,1.0,2660.83166816
5489,0.0838975609088,0.084054409432,0.0839438223485,1.0,1.0,1.0,2704.93816456,optimal
0,0.120625111323,0.120615131511,0.120595621086,1.0,1.0,1.0,0.502489366998
100,0.116109548084,0.116099834025,0.11608077474,1.0,1.0,1.0,50.258656067
200,0.109075026118,0.109067334221,0.109044604131,1.0,1.0,1.0,99.890369102
300,0.102846288343,0.102838887221,0.102812077809,1.0,1.0,1.0,149.294426131
400,0.0996625074571,0.0996553634264,0.0996231247269,1.0,1.0,1.0,198.710425238
500,0.0970718012432,0.0970649242769,0.0970273622719,1.0,1.0,1.0,248.175640354
600,0.0953678809161,0.0953621034235,0.0953228721643,1.0,1.0,1.0,297.630105793
700,0.09412938688,0.0941243677648,0.0940825377006,1.0,1.0,1.0,347.175824339
800,0.0931650796584,0.0931613194302,0.0931185779819,1.0,1.0,1.0,396.733495965
900,0.0920509798949,0.0920493576963,0.0920039408301,1.0,1.0,1.0,446.276187883
1000,0.0915841045713,0.0915851868425,0.0915383114972,1.0,1.0,1.0,495.81538755
1100,0.091486978803,0.0914890067185,0.0914398979709,1.0,1.0,1.0,545.268392194
1200,0.0913999111052,0.0914029831837,0.091354329585,1.0,1.0,1.0,594.62941112
1300,0.0913160060128,0.0913200693977,0.0912720958611,1.0,1.0,1.0,643.92758159
1400,0.091264921493,0.091269194455,0.0912230008931,1.0,1.0,1.0,693.190186584
1500,0.0911538802988,0.091158596827,0.0911104921288,1.0,1.0,1.0,742.524347026
1600,0.0911073203731,0.0911131717204,0.0910633011151,1.0,1.0,1.0,791.947481592
1700,0.0910389781601,0.0910456256046,0.0909952993947,1.0,1.0,1.0,841.452383944
1800,0.0909709036539,0.0909783911497,0.0909269214136,1.0,1.0,1.0,890.978960456
1900,0.0909108753233,0.0909198403324,0.0908665665576,1.0,1.0,1.0,940.536645954
2000,0.0908546824236,0.0908648259824,0.0908095994639,1.0,1.0,1.0,990.07673889
2100,0.0907849741632,0.0907957326473,0.0907410307405,1.0,1.0,1.0,1039.68338377
2200,0.0907091577111,0.0907206892354,0.0906657016871,1.0,1.0,1.0,1089.25676923
2300,0.090577446184,0.0905910344752,0.0905354820879,1.0,1.0,1.0,1138.82762885
2400,0.0904882133633,0.0905025963358,0.090448315925,1.0,1.0,1.0,1188.35097167
2500,0.0903920974957,0.0904064990837,0.0903534698633,1.0,1.0,1.0,1237.834576
2600,0.0903137134193,0.0903295417551,0.0902781299677,1.0,1.0,1.0,1287.4045753
2700,0.0902488513919,0.0902659155748,0.0902128943858,1.0,1.0,1.0,1337.01419618
2800,0.0901249773757,0.0901442286566,0.0900872140618,1.0,1.0,1.0,1386.66257366
2900,0.0900550256013,0.0900751505161,0.0900166968284,1.0,1.0,1.0,1436.32138901
3000,0.0899450589948,0.089968536368,0.0899037151023,1.0,1.0,1.0,1485.90366515
3100,0.0898746031184,0.0898988426277,0.0898343295837,1.0,1.0,1.0,1535.48671885
3200,0.0897492734567,0.0897751514107,0.089706359926,1.0,1.0,1.0,1585.0930392
3300,0.0896847130774,0.089711595689,0.0896386051725,1.0,1.0,1.0,1634.66683669
3400,0.0895567614777,0.0895857796279,0.0895071690774,1.0,1.0,1.0,1684.24446792
3500,0.0894468847327,0.0894786747433,0.0893946986457,1.0,1.0,1.0,1733.80317242
3600,0.0893664445597,0.0893999474419,0.0893161708734,1.0,1.0,1.0,1783.34116306
3700,0.0892820880171,0.0893173914903,0.0892292136916,1.0,1.0,1.0,1832.89575414
3800,0.0891194917905,0.0891580242011,0.0890614050378,1.0,1.0,1.0,1883.04398308
3900,0.089019010848,0.0890588433959,0.0889618584712,1.0,1.0,1.0,1932.64437205
4000,0.0889411532969,0.0889829702604,0.0888811869088,1.0,1.0,1.0,1982.11318304
4100,0.0888145218403,0.0888577130645,0.0887548622121,1.0,1.0,1.0,2037.82737549
4200,0.0887096146769,0.0887554816411,0.0886492501449,1.0,1.0,1.0,2108.4690593
4300,0.0886525113685,0.0886992555198,0.0885901486858,1.0,1.0,1.0,2175.1509942
4400,0.0885574489815,0.0886074829055,0.0884903828185,1.0,1.0,1.0,2242.55164486
4500,0.0884137306335,0.0884671035672,0.0883412273461,1.0,1.0,1.0,2311.99002599
4600,0.088322816264,0.0883778601558,0.0882505849854,1.0,1.0,1.0,2375.48683166
4700,0.088234344819,0.0882903499123,0.0881615661168,1.0,1.0,1.0,2445.28869359
4800,0.0879886990613,0.0880470234988,0.0879130851865,1.0,1.0,1.0,2509.65054231
4900,0.0878706847444,0.0879316142081,0.0877939714728,1.0,1.0,1.0,2574.94899318
5000,0.0876144176292,0.0876818301493,0.0875412036351,1.0,1.0,1.0,2644.66009757
5100,0.0874543054835,0.0875268639113,0.0873754002209,1.0,1.0,1.0,2707.90683973
5200,0.0873038262922,0.0873809465996,0.0872221707831,1.0,1.0,1.0,2778.02221143
5300,0.0870942761964,0.0871743807881,0.0870168288878,1.0,1.0,1.0,2845.32329798
5400,0.0869234160799,0.0870084719807,0.0868466782899,1.0,1.0,1.0,2912.75443705
5500,0.0868090011498,0.0868950087672,0.0867362806831,1.0,1.0,1.0,2981.84366626
5600,0.086677640465,0.0867677687278,0.0865990943243,1.0,1.0,1.0,3047.69825046
5700,0.0865797535375,0.0866731398336,0.0865036064379,1.0,1.0,1.0,3117.3622034
5800,0.0864244081003,0.0865197477435,0.0863513340914,1.0,1.0,1.0,3183.1960026
5861,0.0863709026652,0.0864672660834,0.0862997697429,1.0,1.0,1.0,3220.44387637,optimal
0,0.118422148428,0.118415425704,0.118426280248,1.0,1.0,1.0,0.720473442998
100,0.110085770649,0.110079717506,0.110086854199,1.0,1.0,1.0,70.483958385
200,0.105589802994,0.105584251151,0.105589971204,1.0,1.0,1.0,136.776857051
300,0.102145346386,0.102140829245,0.102144389805,1.0,1.0,1.0,203.329666628
400,0.0913617247809,0.0913647506136,0.0913473062927,1.0,1.0,1.0,272.2936299
500,0.091262216008,0.0912651141325,0.0912515771674,1.0,1.0,1.0,336.884253043
600,0.0912131489349,0.0912165231272,0.0912020647219,1.0,1.0,1.0,406.618710544
700,0.0911379366024,0.0911418808667,0.0911284831301,1.0,1.0,1.0,472.782529919
800,0.0910718233467,0.0910767989655,0.0910633068541,1.0,1.0,1.0,537.577051874
900,0.0909984713132,0.0910048327617,0.0909894289139,1.0,1.0,1.0,605.327427388
1000,0.0909196304849,0.090926713913,0.0909113071855,1.0,1.0,1.0,666.07150877
1100,0.0908621743137,0.090869368272,0.0908547368837,1.0,1.0,1.0,736.290581171
