iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.198304610497,0.198307305241,0.198356012409,1.0,1.0,1.0,0.453199734999
100,0.223559455299,0.223563043302,0.223612693641,1.0,1.0,1.0,45.978067196
200,0.240074991428,0.240082187399,0.240132468184,1.0,1.0,1.0,91.495038771
300,0.239174676997,0.239183871046,0.239233029115,1.0,1.0,1.0,136.929963917
400,0.241409046284,0.241419712223,0.241472286768,1.0,1.0,1.0,187.169929965
500,0.223725067652,0.223733683466,0.223788075839,1.0,1.0,1.0,237.546532912
600,0.235722258269,0.235729661178,0.235778171702,1.0,1.0,1.0,287.878191106
700,0.235550956407,0.235559112986,0.235610361424,1.0,1.0,1.0,338.218712367
800,0.230395161527,0.230400715975,0.230453868618,1.0,1.0,1.0,388.8329349
900,0.217737485024,0.217745143185,0.217792516912,1.0,1.0,1.0,439.532860279
1000,0.199826512471,0.199834824196,0.19988333245,1.0,1.0,1.0,490.211704003
1100,0.191036318211,0.191044983391,0.191095530667,1.0,1.0,1.0,541.545097902
1200,0.176744092819,0.176751079233,0.176799451105,1.0,1.0,1.0,593.206100807
1300,0.165103072535,0.165107786765,0.165154163098,1.0,1.0,1.0,644.884746016
1400,0.148242038998,0.148248278452,0.14828811294,1.0,1.0,1.0,696.577596073
1500,0.132105449388,0.13210883604,0.132148135154,1.0,1.0,1.0,748.121153017
1600,0.121910465371,0.121913472293,0.121951476017,1.0,1.0,1.0,799.703246415
1700,0.115013891989,0.115016959787,0.115052761716,1.0,1.0,1.0,851.168254045
1800,0.108520915324,0.108523928543,0.108555987451,1.0,1.0,1.0,902.545624293
1900,0.101806131534,0.101809346409,0.101839101555,1.0,1.0,1.0,953.815873082
2000,0.0994030960139,0.0994075422538,0.0994318947111,1.0,1.0,1.0,1005.01494811
2100,0.0961941069397,0.0962001191679,0.0962224306175,1.0,1.0,1.0,1056.27506855
2200,0.0947512012345,0.0947568565209,0.094778492624,1.0,1.0,1.0,1107.47963817
2300,0.0916043776618,0.0916089796053,0.0916239425292,1.0,1.0,1.0,1158.79665331
2400,0.0913593258495,0.0913643821714,0.0913764300366,1.0,1.0,1.0,1210.21747234
2500,0.091221197216,0.0912261306662,0.0912331996566,1.0,1.0,1.0,1261.62989819
2600,0.0911267063012,0.0911334191535,0.0911381295859,1.0,1.0,1.0,1313.08709675
2700,0.0910428629346,0.0910505414801,0.091056095038,1.0,1.0,1.0,1364.54441319
2800,0.0909696140379,0.0909782227541,0.0909831426901,1.0,1.0,1.0,1416.01133291
2900,0.0908777995965,0.0908877457809,0.0908912350456,1.0,1.0,1.0,1467.48165036
3000,0.0907746177025,0.0907858824529,0.0907890861553,1.0,1.0,1.0,1518.89099915
3100,0.0906731591511,0.0906856699364,0.0906903678652,1.0,1.0,1.0,1570.2197999
3200,0.0906044577828,0.0906178172443,0.090622728465,1.0,1.0,1.0,1621.52320136
3300,0.0905354270666,0.0905498580837,0.0905570101316,1.0,1.0,1.0,1672.82867306
3400,0.0904732814496,0.0904881373309,0.0904960856218,1.0,1.0,1.0,1724.19854098
3500,0.0904255812692,0.0904410592228,0.0904480264279,1.0,1.0,1.0,1775.52229305
3600,0.0903531438197,0.0903690238689,0.0903759936578,1.0,1.0,1.0,1826.7079488
3700,0.0902911382736,0.0903081667445,0.0903170714769,1.0,1.0,1.0,1877.83756523
3800,0.0901748585702,0.0901936915415,0.0902090533864,1.0,1.0,1.0,1929.05209893
3900,0.0900366182749,0.0900582629608,0.0900723732983,1.0,1.0,1.0,1980.35701158
4000,0.0898781210805,0.0899018431283,0.0899159440557,1.0,1.0,1.0,2031.72196234
4100,0.0897074640889,0.0897335935084,0.089750689363,1.0,1.0,1.0,2083.04472109
4200,0.0896104364162,0.0896369665495,0.0896559811457,1.0,1.0,1.0,2134.30064738
4300,0.0895015325677,0.0895307648518,0.089553329771,1.0,1.0,1.0,2185.68215584
4400,0.0893810694441,0.0894147432279,0.0894404403052,1.0,1.0,1.0,2237.11846227
4500,0.0892140669948,0.0892480501263,0.0892748699788,1.0,1.0,1.0,2288.63856861
4600,0.0890905338709,0.0891255148935,0.0891517281817,1.0,1.0,1.0,2340.15587724
4700,0.0889521052646,0.0889915547932,0.0890164305466,1.0,1.0,1.0,2391.63438282
4800,0.0888391635059,0.0888782635179,0.0889045222961,1.0,1.0,1.0,2443.11378174
4900,0.0886663038607,0.0887086560827,0.0887349200532,1.0,1.0,1.0,2494.6584294
5000,0.0885064387006,0.0885522659793,0.0885744639645,1.0,1.0,1.0,2546.17780689
5100,0.0883686645242,0.0884187357964,0.0884360726036,1.0,1.0,1.0,2597.7073257
5200,0.0882461557621,0.0882965217967,0.0883158922987,1.0,1.0,1.0,2649.28119884
5300,0.0880840194394,0.0881392130143,0.0881584615021,1.0,1.0,1.0,2700.86666122
5400,0.0879504072554,0.0880092047019,0.0880260150574,1.0,1.0,1.0,2752.49523561
5500,0.0877296818768,0.087793483302,0.0877967966149,1.0,1.0,1.0,2804.01601137
5600,0.0875449671738,0.087612166268,0.0876101750148,1.0,1.0,1.0,2855.49125456
