iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
2800,0.0889443620884,0.0889886928314,0.0889388727622,1.0,1.0,1.0,1790.14316736
2900,0.088772135725,0.0888209849257,0.0887645136377,1.0,1.0,1.0,1853.50001062
3000,0.0886360802318,0.0886885299595,0.0886271404792,1.0,1.0,1.0,1918.60200267
3100,0.0885179366599,0.0885725590472,0.0885073306445,1.0,1.0,1.0,1987.0856437
3200,0.0883724187696,0.0884336007468,0.0883542102607,1.0,1.0,1.0,2048.81187497
3300,0.0882923725692,0.0883524977205,0.0882785189797,1.0,1.0,1.0,2118.37972395
3400,0.0882198946487,0.088280512222,0.0882065912792,1.0,1.0,1.0,2186.62754819
3500,0.0881323938527,0.0881963521288,0.0881168152631,1.0,1.0,1.0,2252.68023549
3600,0.0880176228766,0.0880839394467,0.0879997818394,1.0,1.0,1.0,2321.94210581
3700,0.0878689079094,0.0879362265166,0.0878520214504,1.0,1.0,1.0,2383.34520734
3800,0.0877859137589,0.0878584087833,0.087764048681,1.0,1.0,1.0,2451.75312846
3900,0.0875397997044,0.0876160958438,0.0875249016701,1.0,1.0,1.0,2517.41125287
4000,0.0874051519878,0.0874859167141,0.0873900570648,1.0,1.0,1.0,2581.58096019
4100,0.0873020051888,0.0873852887001,0.0872864982896,1.0,1.0,1.0,2650.5240213
4200,0.0871565372753,0.0872430282975,0.0871386906301,1.0,1.0,1.0,2716.74062989
4300,0.0868756801136,0.0869676704363,0.0868607900172,1.0,1.0,1.0,2784.82011497
4400,0.08676621937,0.0868623573346,0.0867511413066,1.0,1.0,1.0,2854.765894
4500,0.0866674728377,0.0867665365905,0.0866539083098,1.0,1.0,1.0,2918.27499522
4600,0.0865127514182,0.0866172316787,0.0865052651582,1.0,1.0,1.0,2987.60970796
4700,0.0863341455438,0.0864442127066,0.086332880199,1.0,1.0,1.0,3051.16945118
4800,0.0862007709944,0.0863120396029,0.0862020888105,1.0,1.0,1.0,3117.79958994
4900,0.0859403050623,0.0860634165588,0.0859351829383,1.0,1.0,1.0,3185.05412157
5000,0.0858681571149,0.0859914427611,0.0858626613357,1.0,1.0,1.0,3246.52183472
5100,0.0857203293961,0.0858480885382,0.0857177030638,1.0,1.0,1.0,3316.72679909
5200,0.0855933229442,0.0857238311971,0.0855923429296,1.0,1.0,1.0,3384.53800339
5300,0.0854274798107,0.0855657533887,0.0854231843102,1.0,1.0,1.0,3450.97997959
5318,0.0854114504691,0.0855530222391,0.0854074304683,1.0,1.0,1.0,3463.61228813,optimal
0,0.162122379941,0.162118765146,0.162135493186,1.0,1.0,1.0,0.677405008
100,0.149726102314,0.149725554756,0.149739105594,1.0,1.0,1.0,69.689842983
200,0.13773584439,0.137736154971,0.137746242491,1.0,1.0,1.0,133.057014023
300,0.127585202092,0.127586239431,0.127595080865,1.0,1.0,1.0,197.193944954
400,0.123918821292,0.123920963378,0.123927052217,1.0,1.0,1.0,247.819443885
