iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0992150753482,0.0992106272853,0.0991787044846,1.0,1.0,1.0,0.464160242
100,0.0963450607414,0.0963422536618,0.096304652695,1.0,1.0,1.0,47.943340908
200,0.0922196456533,0.0922207248912,0.0921797225114,1.0,1.0,1.0,97.508354689
300,0.0917961858698,0.0917981126515,0.0917572563657,1.0,1.0,1.0,156.657319978
400,0.0917009789784,0.0917037701991,0.0916627333664,1.0,1.0,1.0,218.650311444
500,0.0916179183854,0.091622727627,0.0915803356252,1.0,1.0,1.0,281.255899547
600,0.0915563385666,0.091562200821,0.0915188216269,1.0,1.0,1.0,346.24412927
700,0.09149265204,0.0914997578567,0.0914559258328,1.0,1.0,1.0,413.758079909
800,0.0913779003233,0.0913863164425,0.0913397416725,1.0,1.0,1.0,480.742137825
900,0.0913014684692,0.091310811169,0.0912634442064,1.0,1.0,1.0,547.483584141
1000,0.0911835494035,0.0911947106149,0.091140471083,1.0,1.0,1.0,612.007911759
1100,0.0910470870833,0.0910591916153,0.0910078160212,1.0,1.0,1.0,674.78428786
1200,0.0909429144145,0.0909567426665,0.0909036933389,1.0,1.0,1.0,737.122216673
1300,0.0908439575982,0.0908594024229,0.090803969964,1.0,1.0,1.0,799.604648898
1400,0.090739290102,0.0907567623232,0.0906993959376,1.0,1.0,1.0,862.115448206
1500,0.090681519863,0.0907002028788,0.090641851545,1.0,1.0,1.0,925.496015126
1600,0.0905656227254,0.0905865842889,0.0905245839711,1.0,1.0,1.0,989.42363942
1700,0.0904933617781,0.0905151272613,0.0904535551753,1.0,1.0,1.0,1057.63584867
1800,0.0904392776957,0.0904630124973,0.0903981777908,1.0,1.0,1.0,1124.26227781
1900,0.0903565442151,0.090380964046,0.0903162804123,1.0,1.0,1.0,1187.94140827
2000,0.0902531696864,0.0902794221967,0.0902114690149,1.0,1.0,1.0,1250.7448191
2100,0.0902159154476,0.0902431614869,0.0901750934554,1.0,1.0,1.0,1313.00661669
2200,0.0901431606975,0.0901711444168,0.0901019751805,1.0,1.0,1.0,1375.61278692
2300,0.0900780107969,0.0901073036982,0.090036475194,1.0,1.0,1.0,1438.24334328
2400,0.0899096554888,0.0899432318101,0.089866719595,1.0,1.0,1.0,1500.85317462
2500,0.0898487025397,0.0898829129092,0.0898053405528,1.0,1.0,1.0,1564.27413796
2600,0.0897192562132,0.0897560197704,0.0896732236645,1.0,1.0,1.0,1629.21013535
2700,0.0895914895851,0.0896296821036,0.0895442608105,1.0,1.0,1.0,1695.43412409
2800,0.0894603074821,0.089500659425,0.0894154030565,1.0,1.0,1.0,1760.06581892
2900,0.0894128706491,0.0894530345233,0.0893699897213,1.0,1.0,1.0,1824.40412706
3000,0.0892743982754,0.0893170868262,0.0892295573572,1.0,1.0,1.0,1887.58754466
3100,0.089147038376,0.0891916668097,0.089100157071,1.0,1.0,1.0,1949.80638502
3200,0.0889754802123,0.0890231255606,0.0889289876466,1.0,1.0,1.0,2012.31612843
3300,0.0888528102111,0.0889017593204,0.0888068675666,1.0,1.0,1.0,2074.87511438
3400,0.0887268048726,0.0887785895336,0.0886785680732,1.0,1.0,1.0,2137.56354405
3500,0.0886079321676,0.0886646520833,0.0885556359271,1.0,1.0,1.0,2202.34265246
3600,0.0884921607336,0.0885484962522,0.0884413201226,1.0,1.0,1.0,2268.29752618
3700,0.0882787000519,0.0883434016566,0.0882201580659,1.0,1.0,1.0,2334.01875243
3800,0.0881791794079,0.0882464557861,0.0881189730791,1.0,1.0,1.0,2398.45184146
3900,0.0880885029172,0.0881572384538,0.0880299839178,1.0,1.0,1.0,2461.91581395
4000,0.0879119499653,0.0879860783237,0.0878501341315,1.0,1.0,1.0,2524.35358114
